station_id,timestamp,latitude,longitude,tiger_id,flank_side
ST-17,2007-05-21,21.76165,79.49656,PTR-T06,Left
ST-07,2011-12-22,21.86845,79.45827,PTR-T02,Left
ST-05,2011-12-27,21.84626,79.53334,PTR-T04,Left
ST-16,2011-12-18,21.75795,79.4461,PTR-T01,Right
ST-09,2011-12-27,21.88325,79.53042,PTR-T04,Right
ST-02,2011-12-22,21.81449,79.49652,PTR-T06,Left
ST-06,2011-12-22,21.8547,79.53002,PTR-T04,Right
ST-18,2011-12-19,21.77079,79.46466,PTR-T03,Left
ST-08,2011-12-26,21.87952,79.474,PTR-T04,Right
ST-04,2011-12-15,21.83466,79.48,PTR-T04,Right
ST-20,2011-12-19,21.79781,79.45924,PTR-T02,Right
ST-16,2011-12-20,21.7518,79.46578,PTR-T03,Right
ST-16,2011-12-21,21.75141,79.40703,PTR-T03,Left
ST-17,2011-12-18,21.76329,79.38033,PTR-T01,Left
ST-06,2011-12-18,21.85362,79.53177,PTR-T04,Right
ST-20,2011-12-16,21.79078,79.39,PTR-T02,Left
ST-16,2011-12-25,21.75103,79.45431,PTR-T02,Right
ST-02,2011-12-22,21.81012,79.42643,PTR-T05,Right
ST-15,2011-02-17,21.74464,79.47586,PTR-T04,Right
ST-06,2011-12-23,21.85527,79.47624,PTR-T04,Right
ST-16,2011-12-17,21.75553,79.3888,PTR-T01,Left
ST-15,2011-02-18,21.74024,79.45799,PTR-T02,Left
ST-08,2011-12-22,21.87876,79.4556,PTR-T02,Left
ST-19,2011-12-20,21.78975,79.48812,PTR-T05,Left
ST-10,2011-12-15,21.89525,79.47969,PTR-T04,Right
ST-01,2011-12-26,21.80077,79.47859,PTR-T04,Left
ST-17,2011-12-21,21.76581,79.50561,PTR-T01,Right
ST-13,2011-12-18,21.72209,79.47875,PTR-T04,Right
ST-19,2011-12-10,21.78954,79.49146,PTR-T06,Left
ST-14,2011-12-16,21.73637,79.4369,PTR-T06,Right
ST-18,2011-12-10,21.77167,79.41186,PTR-T04,Right
ST-19,2011-12-13,21.78081,79.47795,PTR-T04,Right
ST-01,2011-12-17,21.80801,79.4521,PTR-T02,Left
ST-15,2011-12-19,21.74088,79.42773,PTR-T05,Left
ST-14,2011-02-25,21.73318,79.50848,PTR-T01,Left
ST-17,2011-02-20,21.76485,79.53435,PTR-T04,Left
ST-02,2011-12-25,21.81282,79.51191,PTR-T02,Left
ST-20,2011-12-18,21.79252,79.46118,PTR-T03,Right
ST-04,2011-12-18,21.83337,79.46916,PTR-T03,Right
ST-01,2011-12-18,21.80161,79.47797,PTR-T04,Right
ST-02,2011-12-22,21.81982,79.46267,PTR-T03,Left
ST-14,2011-12-26,21.73095,79.46391,PTR-T03,Right
ST-13,2011-12-10,21.72173,79.47114,PTR-T04,Left
ST-05,2011-12-24,21.84388,79.45365,PTR-T02,Left
ST-17,2011-02-13,21.76537,79.51591,PTR-T02,Left
ST-11,2011-12-22,21.90683,79.44882,PTR-T01,Right
