occurrenceID,decimalLatitude,decimalLongitude,eventDate
CTP050612007265A00015a,29.9488,78.2889,2007-05-21
CTP050612011650B00171a,30.0636,78.2964,2011-12-22
CTP050612011650B00396a,30.0636,78.2964,2011-12-27
CTP050612011450B00119a,29.9862,78.2892,2011-12-18
CTP050612011650A00387a,30.0636,78.2964,2011-12-27
CTP050612011650A00176a,30.0636,78.2964,2011-12-22
CTP050612011650B00181a,30.0636,78.2964,2011-12-22
CTP050612011346B00511a,29.9592,78.2563,2011-12-19
CTP050612011640A00518a,30.0717,78.3185,2011-12-26
CTP050612011650A00036a,30.0636,78.2964,2011-12-15
CTP050612011430B00436a,29.9685,78.2145,2011-12-19
CTP050612011460A00176a,29.9937,78.2737,2011-12-20
CTP050612011420A00116a,29.9702,78.2303,2011-12-21
CTP050612011424A00259a,29.9827,78.2244,2011-12-18
CTP050612011700A00256a,30.0834,78.3061,2011-12-18
CTP050612011420B00065a,29.9702,78.2303,2011-12-16
CTP050612011474A00314a,30.0007,78.26,2011-12-25
CTP050612011420B00118a,29.9702,78.2303,2011-12-22
CTP050612011321B00178a,29.9554,78.2965,2011-02-17
CTP050612011650B00204a,30.0636,78.2964,2011-12-23
CTP050612011420A00084a,29.9702,78.2303,2011-12-17
CTP050612011410A00179a,29.9685,78.2448,2011-02-18
CTP050612011650A00171a,30.0636,78.2964,2011-12-22
CTP050612011411A00136a,29.9707,78.262,2011-12-20
CTP050612011600A00049a,30.0503,78.3091,2011-12-15
CTP050612011420B00154a,29.9702,78.2303,2011-12-26
CTP050612011346B00567a,29.9592,78.2563,2011-12-21
CTP050612011420B00089a,29.9702,78.2303,2011-12-18
CTP050612011346B00060a,29.9592,78.2563,2011-12-10
CTP050612011346B00439a,29.9592,78.2563,2011-12-16
CTP050612011346B00058a,29.9592,78.2563,2011-12-10
CTP050612011346B00213a,29.9592,78.2563,2011-12-13
CTP050612011420B00078a,29.9702,78.2303,2011-12-17
CTP050612011430A00901a,29.9685,78.2145,2011-12-19
CTP050612011262A01067a,29.9341,78.2912,2011-02-25
CTP050612011380A00316a,29.9844,78.3078,2011-02-20
CTP050612011485A00418a,29.9921,78.2737,2011-12-25
CTP050612011420A00093a,29.9702,78.2303,2011-12-18
CTP050612011450A00114a,29.9862,78.2892,2011-12-18
CTP050612011411A00087a,29.9707,78.262,2011-12-18
CTP050612011650B00175a,30.0636,78.2964,2011-12-22
CTP050612011420A00161a,29.9702,78.2303,2011-12-26
CTP050612011420A00020a,29.9702,78.2303,2011-12-10
CTP050612011650A00217a,30.0636,78.2964,2011-12-24
CTP050612011335A00336a,29.954,78.2712,2011-02-13
CTP050612011650A00167a,30.0636,78.2964,2011-12-22
CTP050612011485B00238a,29.9921,78.2737,2011-12-18
CTP050612011321B00213a,29.9554,78.2965,2011-02-19
CTP050612011450B00222a,29.9862,78.2892,2011-02-20
CTP050612011411A00123a,29.9707,78.262,2011-12-20
CTP050612011346A00415a,29.9592,78.2563,2011-12-16
CTP050612011346A00526a,29.9592,78.2563,2011-12-19
CTP050612011321B00083a,29.9554,78.2965,2011-02-09
CTP050612011485A00247a,29.9921,78.2737,2011-12-18
CTP050612011325B00027a,29.9642,78.2861,2011-12-12
CTP050612011346A00209a,29.9592,78.2563,2011-12-13
CTP050612011346C00014a,29.9592,78.2563,2011-12-10
CTP050612011180B00466a,29.8989,78.2766,2011-12-15
CTP050612011411A00135a,29.9707,78.262,2011-12-20
CTP050612011346B00617a,29.9592,78.2563,2011-12-22
CTP050612011321B00109a,29.9554,78.2965,2011-12-23
CTP050612011380A00037a,29.9844,78.3078,2011-12-12
CTP050612011346A00621a,29.9592,78.2563,2011-12-22
CTP050612011450A00215a,29.9862,78.2892,2011-02-20
CTP050612011321A00275a,29.9554,78.2965,2011-02-24
CTP050612011335A00435a,29.954,78.2712,2011-02-17
CTP050612011274B00315a,29.9447,78.271,2011-12-20
CTP050612011321B00032a,29.9554,78.2965,2011-12-12
CTP050612011346A00890a,29.9592,78.2563,2011-12-26
CTP050612011346A00057a,29.9592,78.2563,2011-12-10
CTP050612011346B00874a,29.9592,78.2563,2011-12-26
CTP050612011420A00091a,29.9702,78.2303,2011-12-18
CTP050612011335A00442a,29.954,78.2712,2011-02-17
CTP050612011274A00335a,29.9447,78.271,2011-12-20
CTP050612011233B00627a,29.9278,78.2668,2011-02-23
CTP050612011325A00048a,29.9642,78.2861,2011-12-12
CTP050612011262B01048a,29.9341,78.2912,2011-12-23
CTP050612011321A00078a,29.9554,78.2965,2011-02-09
CTP050612011321A00116a,29.9554,78.2965,2011-12-23
CTP050612011232A00312a,29.9188,78.274,2011-12-13
CTP050612011420A00082a,29.9702,78.2303,2011-12-17
CTP050612011380B00304a,29.9844,78.3078,2011-02-20
CTP050612011420A00126a,29.9702,78.2303,2011-12-22
CTP050612011274A00415a,29.9447,78.271,2011-12-21
CTP050612009471A00389a,30.0006,78.2446,2009-12-18
CTP050612011262B00985a,29.9341,78.2912,2011-12-21
CTP050612011346B00879a,29.9592,78.2563,2011-12-26
CTP050612011335A00132a,29.954,78.2712,2011-02-12
CTP050612011232A00173a,29.9188,78.274,2011-12-10
CTP050612011321A00179a,29.9554,78.2965,2011-02-17
CTP050612011262B00369a,29.9341,78.2912,2011-12-11
CTP050612011262A01400a,29.9341,78.2912,2011-12-23
CTP050612011232B00189a,29.9188,78.274,2011-12-10
CTP050612011321A00167a,29.9554,78.2965,2011-02-17
CTP050612011269B00168a,29.9431,78.2932,2011-12-23
CTP050612011321A00215a,29.9554,78.2965,2011-02-19
CTP050612011346A00589a,29.9592,78.2563,2011-12-21
CTP050612011180B00539a,29.8989,78.2766,2011-12-16
CTP050612011180B00306a,29.8989,78.2766,2011-12-09
CTP050612011262A01295a,29.9341,78.2912,2011-12-21
CTP050612011262B00828a,29.9341,78.2912,2011-02-24
CTP050612011211B00135a,29.9309,78.3107,2011-02-17
CTP050612011232A00190a,29.9188,78.274,2011-12-10
CTP050612011250B00172a,29.9453,78.3159,2011-02-26
CTP050612011232B00171a,29.9188,78.274,2011-12-10
CTP050612011346C00046a,29.9592,78.2563,2011-12-16
CTP050612011180A00546a,29.8989,78.2766,2011-12-16
CTP050612011179A00213a,29.912,78.3033,2011-12-17
CTP050612011250A00158a,29.9453,78.3159,2011-02-26
CTP050612011180B00677a,29.8989,78.2766,2011-12-20
CTP050612011321B00185a,29.9554,78.2965,2011-02-17
CTP050612011321A00206a,29.9554,78.2965,2011-02-19
CTP050612009266A00056a,29.9387,78.2865,
CTP050612011232A00872a,29.9188,78.274,2011-12-22
CTP050612011211A00038a,29.9309,78.3107,2011-12-12
CTP050612011180A00497a,29.8989,78.2766,2011-12-15
CTP050612011233A00612a,29.9278,78.2668,2011-02-23
CTP050612011211A00139a,29.9309,78.3107,2011-02-17
CTP050612011269A00187a,29.9431,78.2932,2011-12-23
CTP050612011346A00059a,29.9592,78.2563,2011-12-10
CTP050612011274B00406a,29.9447,78.271,2011-12-21
CTP050612011179B00137a,29.912,78.3033,2011-12-17
CTP050612011061A00115a,29.8641,78.3438,2011-12-21
CTP050612011180A00498a,29.8989,78.2766,2011-12-15
CTP050612011180B00464a,29.8989,78.2766,2011-12-15
CTP050612011321B00222a,29.9554,78.2965,2011-02-19
CTP050612011211A00329a,29.9309,78.3107,2011-12-19
CTP050612009472A00037a,29.9974,78.2451,2009-12-18
CTP050612009472A00296a,29.9974,78.2451,2009-12-28
CTP050612011171A00212a,29.9079,78.2878,2011-02-17
CTP050612011262B01129a,29.9341,78.2912,2011-12-25
CTP050612009410A00051a,29.9685,78.2448,2009-12-15
CTP050612011180B00332a,29.8989,78.2766,2011-12-10
CTP050612011180A00551a,29.8989,78.2766,2011-12-17
CTP050612011232B00172a,29.9188,78.274,2011-12-10
CTP050612009344A00334a,29.9565,78.2537,2009-12-09
CTP050612011232A00562a,29.9188,78.274,2011-12-17
CTP050612009073A00063a,29.8755,78.3104,2009-11-04
CTP050612009420A00100a,29.9702,78.2304,2009-12-13
CTP050612011180A00317a,29.8989,78.2766,2011-12-09
CTP050612009352A00176a,29.9598,78.242,2005-01-12
CTP050612011232A00172a,29.9188,78.274,2011-12-10
CTP050612011180B00673a,29.8989,78.2766,2011-12-20
CTP050612009342A00771a,29.9501,78.2498,
CTP050612011262B00367a,29.9341,78.2912,2011-12-11
CTP050612011130A00267a,29.8913,78.2834,2011-12-16
CTP050612009326A00084a,29.9552,78.2856,2009-11-18
CTP050612009342A00272a,29.9501,78.2498,
CTP050612009352A00123a,29.9598,78.242,
CTP050612009430A00082a,29.9685,78.2145,2009-12-05
CTP050612009212A00173a,29.93,78.3062,2009-11-20
CTP050612009325A00108a,29.9647,78.2861,2009-11-13
CTP050612009422A00409a,29.9807,78.2326,2009-12-27
CTP050612011180A00323a,29.8989,78.2766,2011-12-10
CTP050612009269A00048a,29.9431,78.2932,2009-11-21
CTP050612009342A00092a,29.9501,78.2498,
CTP050612009130A00167a,29.8915,78.2834,2009-11-18
CTP050612009284A00289a,29.9414,78.2474,2009-12-28
CTP050612011262A01292a,29.9341,78.2912,2011-12-21
CTP050612009333A00744a,29.9566,78.2835,
CTP050612011180B00465a,29.8989,78.2766,2011-12-15
CTP050612009182A00095a,29.9034,78.2697,2009-11-21
CTP050612011231B00817a,29.9251,78.2768,2011-02-24
CTP050612011072A00312a,29.8703,78.3211,2011-12-19
CTP050612011171A00687a,29.9079,78.2878,2011-02-22
CTP050612011177A00116a,29.8976,78.3003,2011-12-11
CTP050612009420A00101a,29.9702,78.2304,2009-12-13
CTP050612009171A00110a,29.9079,78.2878,
CTP050612009073A00084a,29.8755,78.3104,2009-11-06
CTP050612009072A00033a,29.8703,78.321,2009-10-25
CTP050612009110A00058a,29.8866,78.3126,2009-11-06
CTP050612008273A00075a,29.9446,78.2822,2006-02-01
CTP050612009422A00408a,29.9807,78.2326,2009-12-27
CTP050612011231A00836a,29.9251,78.2768,2011-02-24
CTP050612009262A00020a,29.9341,78.2912,2009-11-12
CTP050612008267A00033a,29.9491,78.2942,2006-01-11
CTP050612008324A00176a,29.9553,78.2879,
CTP050612009364A00031a,29.9555,78.2151,2009-12-04
CTP050612009471A00114a,30.0006,78.2446,2009-12-18
CTP050612009321A00110a,29.9555,78.2962,2009-11-13
CTP050612011180B00565a,29.8989,78.2766,2011-12-17
CTP050612009072A00105a,29.8703,78.321,2009-11-04
CTP050612008324A00023a,29.9553,78.2879,2006-01-11
CTP050612009030A00167a,29.8578,78.324,2009-10-28
CTP050612008333A00051a,29.9566,78.283,2005-01-07
CTP050612009110A00113a,29.8866,78.3126,2009-11-07
CTP050612011061A00277a,29.8641,78.3438,2011-02-24
CTP050612009333A00075a,29.9566,78.283,2009-11-20
CTP050612009342A00206a,29.9501,78.2498,
CTP050612009110A00020a,29.8866,78.3126,2009-10-26
CTP050612009342A00271a,29.9501,78.2498,
CTP050612009260A00048a,29.9314,78.2989,2006-02-09
CTP050612009235A00030a,29.9188,78.274,2009-11-12
CTP050612008324A00018a,29.9553,78.2879,2006-01-11
CTP050612008321A00065a,29.9555,78.2962,2006-01-11
CTP050612011110A00369a,29.8866,78.3126,2011-02-23
