gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1038878019	e61455a4-352d-4c55-83ea-dbca254e3b29	CTP050612007265A00015a	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris (Linnaeus, 1758)	Panthera tigris tigris (Linnaeus, 1758)		IN	East Rajaji National Park	Uttarakhand	PRESENT		4a19e429-8f13-478e-86d7-93adb7534524	29.9488	78.2889		0.01667					2007-05-21	21	5	2007	5K5M9	4CGXS	MACHINE_OBSERVATION	WII		CTP050612007265A00015a		Abishek Harihar, Bivash Pandav		CC_BY_NC_4_0					2026-08-12T22:41:01.765Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;IDENTIFIED_DATE_INVALID
1020587408	e61455a4-352d-4c55-83ea-dbca254e3b29	CTP050612011650B00171a	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris (Linnaeus, 1758)	Panthera tigris tigris (Linnaeus, 1758)		IN	Dehradun	Uttarakhand	PRESENT		4a19e429-8f13-478e-86d7-93adb7534524	30.0636	78.2964		0.01667					2011-12-22	22	12	2011	5K5M9	4CGXS	MACHINE_OBSERVATION	WII		CTP050612011650B00171a		Abishek Harihar		CC_BY_NC_4_0					2026-08-12T22:41:01.763Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;IDENTIFIED_DATE_INVALID
1020587407	e61455a4-352d-4c55-83ea-dbca254e3b29	CTP050612011650B00396a	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris (Linnaeus, 1758)	Panthera tigris tigris (Linnaeus, 1758)		IN	Dehradun	Uttarakhand	PRESENT		4a19e429-8f13-478e-86d7-93adb7534524	30.0636	78.2964		0.01667					2011-12-27	27	12	2011	5K5M9	4CGXS	MACHINE_OBSERVATION	WII		CTP050612011650B00396a		Abishek Harihar		CC_BY_NC_4_0					2026-08-12T22:41:01.760Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;IDENTIFIED_DATE_INVALID
1020587406	e61455a4-352d-4c55-83ea-dbca254e3b29	CTP050612011450B00119a	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris (Linnaeus, 1758)	Panthera tigris tigris (Linnaeus, 1758)		IN	Dehradun	Uttarakhand	PRESENT		4a19e429-8f13-478e-86d7-93adb7534524	29.9862	78.2892		0.01667					2011-12-18	18	12	2011	5K5M9	4CGXS	MACHINE_OBSERVATION	WII		CTP050612011450B00119a		Abishek Harihar		CC_BY_NC_4_0					2026-08-12T22:41:01.755Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;IDENTIFIED_DATE_INVALID
1020587405	e61455a4-352d-4c55-83ea-dbca254e3b29	CTP050612011650A00387a	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris (Linnaeus, 1758)	Panthera tigris tigris (Linnaeus, 1758)		IN	Dehradun	Uttarakhand	PRESENT		4a19e429-8f13-478e-86d7-93adb7534524	30.0636	78.2964		0.01667					2011-12-27	27	12	2011	5K5M9	4CGXS	MACHINE_OBSERVATION	WII		CTP050612011650A00387a		Abishek Harihar		CC_BY_NC_4_0					2026-08-12T22:41:01.753Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;IDENTIFIED_DATE_INVALID
1020587404	e61455a4-352d-4c55-83ea-dbca254e3b29	CTP050612011650A00176a	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris (Linnaeus, 1758)	Panthera tigris tigris (Linnaeus, 1758)		IN	Dehradun	Uttarakhand	PRESENT		4a19e429-8f13-478e-86d7-93adb7534524	30.0636	78.2964		0.01667					2011-12-22	22	12	2011	5K5M9	4CGXS	MACHINE_OBSERVATION	WII		CTP050612011650A00176a		Abishek Harihar		CC_BY_NC_4_0					2026-08-12T22:41:01.751Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;IDENTIFIED_DATE_INVALID
1020587403	e61455a4-352d-4c55-83ea-dbca254e3b29	CTP050612011650B00181a	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris (Linnaeus, 1758)	Panthera tigris tigris (Linnaeus, 1758)		IN	Dehradun	Uttarakhand	PRESENT		4a19e429-8f13-478e-86d7-93adb7534524	30.0636	78.2964		0.01667					2011-12-22	22	12	2011	5K5M9	4CGXS	MACHINE_OBSERVATION	WII		CTP050612011650B00181a		Abishek Harihar		CC_BY_NC_4_0					2026-08-12T22:41:01.748Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;IDENTIFIED_DATE_INVALID
1020587402	e61455a4-352d-4c55-83ea-dbca254e3b29	CTP050612011346B00511a	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris (Linnaeus, 1758)	Panthera tigris tigris (Linnaeus, 1758)		IN	Dehradun	Uttarakhand	PRESENT		4a19e429-8f13-478e-86d7-93adb7534524	29.9592	78.2563		0.01667					2011-12-19	19	12	2011	5K5M9	4CGXS	MACHINE_OBSERVATION	WII		CTP050612011346B00511a		Abishek Harihar		CC_BY_NC_4_0					2026-08-12T22:41:01.745Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;IDENTIFIED_DATE_INVALID
1020587401	e61455a4-352d-4c55-83ea-dbca254e3b29	CTP050612011640A00518a	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris (Linnaeus, 1758)	Panthera tigris tigris (Linnaeus, 1758)		IN	Dehradun	Uttarakhand	PRESENT		4a19e429-8f13-478e-86d7-93adb7534524	30.0717	78.3185		0.01667					2011-12-26	26	12	2011	5K5M9	4CGXS	MACHINE_OBSERVATION	WII		CTP050612011640A00518a		Abishek Harihar		CC_BY_NC_4_0					2026-08-12T22:41:01.742Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;IDENTIFIED_DATE_INVALID
1020587400	e61455a4-352d-4c55-83ea-dbca254e3b29	CTP050612011650A00036a	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris (Linnaeus, 1758)	Panthera tigris tigris (Linnaeus, 1758)		IN	Dehradun	Uttarakhand	PRESENT		4a19e429-8f13-478e-86d7-93adb7534524	30.0636	78.2964		0.01667					2011-12-15	15	12	2011	5K5M9	4CGXS	MACHINE_OBSERVATION	WII		CTP050612011650A00036a		Abishek Harihar		CC_BY_NC_4_0					2026-08-12T22:41:01.737Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;IDENTIFIED_DATE_INVALID
